"Inventory: General Inventory Full Master List                                                                                                                           24-Apr-20
3:01 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 1 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,Description,,,,,,,Dept          Manufacturer                                      Location                Mia   Max            Deleted,,,,,,,,,,,,,,,Active,,,,,
Product ID  Alternate ID,,,,Barcode,,,Cost,,,,Price          Unit     Tax          Supplier 1       Supplier2                   QCom    QOH     Note,,,,,,,,,,,,,,,Multiplier,,,,,
FiJ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ss,sso,,,,GALERIA COMPLETE,,,,,,,I,MA,,,,,PAINT SET,á o   I         No                     Yes,,,,,,,,,,,,
0,WN2190518,,,,501257201007,,,,$31.50,,,,$69.99,EA,Yes,,ss,,0             0     cleared                         0      0,,,,,,,,,,,,
ss   SS000048                  SCULPEY m 2oz,,,,,,,,BALL,,,,I,,,,,,CLAY,l,,,,3,No,,,Yes,,,,
000048    SYS3021209           71589ll20927,,,,,,,,,$1.18,,,,$2.49,EA,Yes,,ss,,,,,0,,3,5/2005,,,0,,0,
ss   SS000049                  SCULPEY ID 2oz,,,,,,,,SPRI,CLAY,,,,,,,,,,I,,,3,,No,Yes,,,,,,
000049    SYS3021216           71589ll21627,,,,,,,,,$1.18,,,,$2.49,EA,Yes,,ss,,,,,0,,3,512005,,,0,,0,
ss   SS000052                  SCULPEY fil 2oz,,,,,,,,STRI,,,,I,,,,,,CLAY,l,,,,3,No,,,Yes,,,,
000052    SYS3021628.           71589ll62828,,,,,,,,,$1.18,,,,$2.49,EA,Yes,,ss,,,,,0,,l,512005,,,0,,0,
ss   SS000053                  SCULPEY lll 2OZ GRA,,,,,,,,,,,,l                                                                        CLAY,,,,,,,l,,,3,,No,Yes,,,,,,
000053    SYS3021629           715891162927                    $1.13,,,,,,,,,,,,,$2.49,EA,Yes,,ss,,,,,0,,2,512005,,,0,,0,
ss   SS000054                  SCULPEY ID 2oz   JUST,,,,,,,,,,,,1,,,,,,CLAY,l,,,,3,No,,,Yes,,,,
000054    SYS302 I634          71589ll63429,,,,,,,,,$1.16,,,,$2.49,EA,Yes,,ss,,,,,0,,l,512005,,,0,,0,
ss   SS000055                  SCULPEY lll 2OZ ELEP,,,,,,,,,,,,1,,,,,,CLAY,l,,,,3,No,,,Yes,,,,
000055    SYS3021645           715891164525,,,,,,,,,$1.16,,,,$2.49,EA,Yes,,ss,,,,,0,,3,512005,,,0,,0,
ss   SS000057                  SCULPEY ID 2oz   HAZE,,,,,,,,,,,,l,,,,,,CLAY,2,,,,4,No,,,Yes,,,,
000057    SYS3021657          715891165720,,,,,,,,,$1.16,,,,$2.49,EA,Yes,,ss,,,,,0,,0,5/2005,,,0,,0,
ss   SS000210                  PRISMA SCHOLAR 48,,,,,,,,,,,,I,,,,,,,l,,,,2,No,,,Yes,,,,
000210    SA92807                 073640928072,,,,,,,,,$25.16,,,,$55.92,,Yes,,ss,,,,,0,,0,3/11,,,0,,0,
