Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max           Deleted,,,,,,,,,,,,,,Active,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QCom    QOH  Note,,,,,,,,,,,,,,Multiplier,,,,,,Fixed,,,,,,,
"Vendor   Item ID                      Description                                       Dept          Ma_ufacturer                                      Location
Product ID   Alternate ID          Barcode                         Cost                       Price          Unit     Tax            Supplier 1       Supplierl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS514535                    CLR BK-GEOMETRICA
514535    D00486201805       800759201808",,,,,,,,,,,$2.84,,,,"MA .
$4.99",,,,,EA,,,,Yes,,,ss,,,KIDS BOOK,,,,,,,0,,0,,l,,,"No
0",,11/200,,,,,Yes,,,0,,,0,,,,,,,
ss   SS514721                    SM SKETCH PAD REC,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAPER PAD,,,,,,,2,,,,14,,,No,,,,,,,Yes,,,,,,,,,,,,,
514721    SM45711                 012017457111,,,,,,,,,,,$7.12,,,,$20.95,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,12                                           0       0,,,,,,,,,,,,,,,,,,,,,,,
ss   S8516066                   CN PAS1LPAP ASST2,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAPER PAD,,,,,,,2,,,,6,,,No,,,,,,,Yes,,,,,,,,,,,,,
516066    CN7022050             314895572422,,,,,,,,,,,$5.32,,,,$13.30,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
ss   SS521957                    LEAD MECH PCL .SM,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,,,,,,,,2,,,,8,,,No,,,,,,,Yes,,,,,,,,,,,,,
521957    PLC505HB              072S12007365,,,,,,,,,,,$1.08,,,,$2.00,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,7/10,,,,,,,,0,,,0,,,,,,,
ss   S8S30662                   ACRYLIC STARTER SE,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAlNTSET,,,,,,,0,,,,l,,,No,,,,,,,Yes,,,,,,,,,,,,,
530662    LQ103200               094376929430,,,,,,,,,,,$2S.65,,,,$56.99,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,0,,,,,,,
ss   SS546674                   SM DRAWING RECYC,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAPER PAD,,,,,,,2,,,,14,,,No,,,,,,,Yes,,,,,,,,,,,,,
546674    SM4439                   012017443091,,,,,,,,,,,$3.44,,,,$8.59,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,7,,reg. 7.,,,,,,,,0,,,0,,,,,,,
ss   SS547034                   SM DRAWING RECYC,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAPER PAD,,,,,,,3,,,,15,,,No,,,,,,,Yes,,,,,,,,,,,,,
547034    SM443ll                 012017443114,,,,,,,,,,,$4.70,,,,$11.75,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,5,,reg$1,,,,,,,,0,,,0,,,,,,,
ss   SS547409                   SM DRAWING PAD RE,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,PAPER PAD,,,,,,,3,,,,15,,,No,,,,,,,Yes,,,,,,,,,,,,,
547409    SM44318                 012017443183,,,,,,,,,,,$8.02,,,,$23.59,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,4,,,,,,,,,,0,,,0,,,,,,,
"ss   SS551473                   CLICK ERASER CARD
551473    PI.ZE21BPK6         072512800164",,,,,,,,,,,$1.13,,,,"MA
$2.25",,,,,EA,,,,Yes,,,ss,,,,,,,,,,2,,0,,7,,,"No
l",,9/11,,,,,Yes,,,0,,,0,,,,,,,
ss   SS558699                   CRAYOLA 4 BRUSH S,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,KIDS ART,,,,,,,2,,,,14,,,No,,,,,,,Yes,,,,,,,,,,,,,
558699  BS053515                071662635152,,,,,,,,,,,$1.29,,,,$2.40,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,8,,,,,,,,,,0,,,0,,,,,,,
ss   SS562467                    SCULPTAMOLD 3 LB,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,CLAY,,,,,,,,,,,3,,,No,,,,,,,Yes,,,,,,,,,,,,,
562467    A041821C              039672418219,,,,,,,,,,,$5.54,,,,$10.25,,,,,EA,,,,Yes,,,ss,,,,,,,,,,,,0,,,,,I,,,,,,,,,,0,,,0,,,,,,,
ss   SS578525                   CRAYOLA CRAYONS,,,,,,,,,,,,,,,MA,,,,,,,,,,,,,,,KIDS ART,,,,,,,2,,,,14,,,No,,,,,,,Yes,,,,,,,,,,,,,
578S25    BSS23016                071662000165,,,,,,,,,,,$1.23,,,,$2.30,,,,,BX,,,,Yes,,,ss,,,,,,,,,,,,0,,20                                           0       0,,,,,,,,,,,,,,,,,,,,,,,
"ss
580570",,SS580570 SA3620,,,,PRISMA MARKER SET 07073S036209,,,,,$26.85,,,,$63.33,,,,,EA,,,,Yes,,,ss,,,0,,,,,,,,,0,,0,,,No 0,,holida,,,,,Yes,,,0,,,0,,,,,,,
ss   SS588814       REMBT SOFT PASTEL 588814    CN31823108           87120792S7S0,,,,,,,,,,,$18.09,,,,"MA
$43.60",,,,,EA,,,,Yes,,,ss,,,ART AISLE,,,,,,,,,0,,2,,,"No
l",,,,,,,Yes,,,0,,,0,,,,,,,
"ss   SSS893S7                   SKETCH PAK BLACK
589357    AB6880AB             071617688011",,,,,,,,,,,$8.50,,,,"MA
$16.99",,,,,EA,,,,Yes,,,ss,,,PAINT AISL,,,,,,,,,0,,3,,,"No
3",,,,,,,Yes,,,0,,,0,,,,,,,
"ss
59S543",,8S595S43 US103,,,,STENCIL 31N ABC/NOS 083392001039,,,,,$4.S3,,,,"MA
$7.95",,,,,EA,,,,Yes,,,ss,,,ADHESIVE,,,,,,,,,"2
0",,,,,No 1,,1/08/2,,,,,Yes,,,0,,,0,,,,,,,
"ss
596892",,"SSS96892
US102",,,,"STENCIL 21N ABC/NOS
083392001022",,,,,$3.96,,,,$7.95,,,,,EA,,,,Yes,,,ss,,,ADHESIVE,,,,,,,,,"2
0",,,,,"No
1",,1/08/2,,,,,Yes,,,0,,,0,,,,,,,
"ss
597570",,SS597S70 US104,,,,"STENCIL 41N ABC/NOS
083392001046",,,,,$5.10,,,,"MA
$8.95",,,,,EA,,,,Yes,,,ss,,,ADHESIVE,,,,,,,,,"2
0",,,,,"No
2",,1/08/2,,,,,Yes,,,0,,,0,,,,,,,
"ss
600970",,SS600970 M16402,,,,BALSA l/16X4X36  BD 091157064021,,,,,$1.78,,,,"MA
$3.55",,,,,EA,,,,Yes,,,ss,,,3,,,,,,,,,0,,"43          No                      Yes
21                                           0       0",,,,,,,,,,,,,,,,,,,,,,,
Page 41 of  186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor   Item ID,,,,,Descriptio_,,,,,,,,Dept          Ma_ufacturer                                      Location                Min       Max           Deleted              Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID  Alternate ID,,,,,Barcode,,,,Cost,,,,Price          Unit     TH            Supplier I       Supplier2                   QCom    QOH     Note        Multiplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixe,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
2      2/1'112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
2     2/1'112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
2     211'112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
2      6 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
I     2/1'112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
7      2/12/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
2     2/12/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
"No
21     back0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
28     back:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
2    regS9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,
ss   SS601012                   TEXTILE PAINT 2 OZ B                    I               MA                                                    SPECIALTY                  I             2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601012    JAJACI 120             743772112006,,,,,,,,,,,$2.23,,,,,$4.89,,,,EA,,,Yes,,,,ss,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
ss   SS601225                   TEXTILE PAINT 2 OZ 601225    JAJACI 123            743772112303,,,,,,,,,,,$2.23,,I,,,"MA
$4.89",,,,EA,,,Yes,,,,ss,,,SPECIALTY,,,,,I,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
"ss   SS601489                   TEXTILE PAINT 2 OZ 0
601489    JAJACI 118            743772111801",,,,,,,,,,,$2.23,,I,,,"MA
$4.89",,,,EA,,,Yes,,,,ss,,,SPECIALTY,,,,,I,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
ss   SS601632                   TEXTILE PAINT 2 OZ B 601632    JAJACl 122             743772112204,,,,,,,,,,,$2.23,,l,,,$4.89,,,,EA,,,Yes,,,,ss,,,,,,,,2,,,,0,,4,,,,,,,,,,,,,,,,,,,,,,,
ss   SS602116                   TEXTILE PAINT 2 OZ A 602116    JAJACll 16            743772lll603,,,,,,,,,,,$2.23,,l,,,"MA
$4.89",,,,EA,,,Yes,,,,ss,,,SPECIALTY,,,,,I,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,
